City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
5,Rikitea,PF,77.7,light rain,-23.1203,-134.9692,People ThankYou
7,Gondanglegi,ID,75.76,few clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
12,Mahebourg,MU,75.49,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
13,Gizo,SB,83.68,light rain,-8.103,156.8419,Imagination Island
14,Nsanje,MW,81.0,clear sky,-16.92,35.262,Nsanje Discovery Lodge
18,Charters Towers,AU,76.05,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
19,Butaritari,KI,81.12,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
20,Hithadhoo,MV,82.04,overcast clouds,-0.6,73.0833,Scoop Guest House
21,Moerai,PF,78.98,overcast clouds,-22.4333,-151.3333,Le Manotel
32,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
38,Bouna,CI,81.72,few clouds,9.2667,-3.0,Hôtel lababa
43,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
46,Thinadhoo,MV,81.37,overcast clouds,0.5333,72.9333,
47,Cap Malheureux,MU,75.69,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
57,Araceli,PH,81.41,scattered clouds,10.5529,119.9913,JBryan Traveler's Inn
59,Tibu,CO,85.98,scattered clouds,8.639,-72.7358,Hotel Yuliana's
60,Port Blair,IN,78.75,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
61,Banda Aceh,ID,77.63,scattered clouds,5.5577,95.3222,Sulthan Hotel International
62,Balao,EC,82.31,overcast clouds,-2.9167,-79.8167,Gilson Stalin Lucas S
63,Madimba,TZ,78.21,overcast clouds,-10.4,40.3333,
66,Sao Filipe,CV,75.29,scattered clouds,14.8961,-24.4956,Hotel Xaguate
68,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
71,Aneho,TG,84.4,overcast clouds,6.2333,1.6,Hotel La Linette
72,Kahului,US,79.86,few clouds,20.8947,-156.47,Maui Seaside Hotel
73,Hambantota,LK,78.21,overcast clouds,6.1241,81.1185,Bungalow 63
77,Poum,NC,80.33,extreme rain,-20.2333,164.0167,Gîte kajeon
80,Kirakira,SB,81.66,heavy intensity rain,-10.4544,161.9205,SanBiz Lodge
89,Arraial Do Cabo,BR,85.96,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
90,Alyangula,AU,76.87,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
93,Atuona,PF,78.57,scattered clouds,-9.8,-139.0333,Villa Enata
95,Hilo,US,80.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
104,La Libertad,EC,76.66,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
110,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
113,Kavieng,PG,82.85,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
123,Penjamo,MX,77.67,clear sky,20.4333,-101.7333,Hotel - San Miguel
125,Maun,BW,76.96,clear sky,-19.9833,23.4167,Enviro Villa
127,Maturin,VE,77.47,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
134,Bandarbeyla,SO,76.53,clear sky,9.4942,50.8122,JABIR HOTEL
139,Gladstone,AU,77.79,few clouds,-23.85,151.25,Highpoint International Hotel
140,Placido De Castro,BR,80.01,overcast clouds,-10.3353,-67.1856,Hotel Carioca
142,Avarua,CK,78.85,moderate rain,-21.2078,-159.775,Paradise Inn
145,Lorengau,PG,82.26,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
146,Wagar,SD,78.71,clear sky,16.1525,36.2032,
150,Samarai,PG,83.17,broken clouds,-10.6167,150.6667,Nuli Sapi
156,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
158,Vallenar,CL,78.67,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
159,Cabo San Lucas,MX,83.52,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
162,Latung,PH,82.17,broken clouds,5.5,120.8833,
164,Noumea,NC,81.0,light rain,-22.2763,166.4572,Hôtel Le Lagon
166,Markala,ML,83.12,overcast clouds,13.7021,-6.0659,Hôtel Igor
167,Biltine,TD,77.85,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
168,Vanimo,PG,78.53,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
171,Caravelas,BR,77.29,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
173,Lahaina,US,79.84,broken clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
176,Pemba,MZ,81.3,few clouds,-12.974,40.5178,Guesthouse Samotina
178,Buala,SB,82.58,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
182,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
189,Tampin,MY,76.53,overcast clouds,2.4701,102.2302,A'Famosa Resort
191,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
201,Bandiagara,ML,81.12,broken clouds,14.3501,-3.6104,Hotel de la Falaise
204,Faanui,PF,81.46,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
206,Bubaque,GW,81.5,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
218,Sinnamary,GF,78.22,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
219,Bundaberg,AU,80.22,few clouds,-24.85,152.35,Takalvan Motel
223,Hervey Bay,AU,80.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
224,Yaguajay,CU,79.65,scattered clouds,22.3272,-79.2378,Hostal La Terraza
226,Touros,BR,85.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
228,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
229,Ternate,ID,81.07,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
231,Bengkulu,ID,75.2,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
235,Karratha,AU,80.06,clear sky,-20.7377,116.8463,ibis Styles Karratha
238,Amahai,ID,78.8,broken clouds,-3.3333,128.9167,HOTEL ISABELA
248,Layou,VC,81.88,broken clouds,13.2,-61.2667,Grace And Truth Campsite
249,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Poutur Pousada
253,Buin,CL,80.06,clear sky,-33.7333,-70.75,Paihuen
