City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,63.9,83,100,7.67,overcast clouds
1,Georgetown,MY,5.4112,100.3354,79.9,86,20,1.01,few clouds
2,Upernavik,GL,72.7868,-56.1549,3.47,96,100,9.15,overcast clouds
3,Tasiilaq,GL,65.6145,-37.6368,33.96,95,100,27.02,light rain
4,New Norfolk,AU,-42.7826,147.0587,63.66,68,11,1.52,few clouds
5,Rikitea,PF,-23.1203,-134.9692,77.7,79,46,11.43,light rain
6,Busselton,AU,-33.65,115.3333,47.08,73,43,4.97,scattered clouds
7,Gondanglegi,ID,-7.7479,112.0132,75.76,85,23,6.93,few clouds
8,Laguna,US,38.421,-121.4238,55.99,91,90,4.0,moderate rain
9,Bredasdorp,ZA,-34.5322,20.0403,61.29,82,100,6.55,overcast clouds
10,Fort William,GB,56.8165,-5.1121,41.79,94,90,5.32,overcast clouds
11,Parthenay,FR,46.6667,-0.4167,42.96,82,33,2.71,scattered clouds
12,Mahebourg,MU,-20.4081,57.7,75.49,83,75,3.44,light rain
13,Gizo,SB,-8.103,156.8419,83.68,75,91,8.14,light rain
14,Nsanje,MW,-16.92,35.262,81.0,61,1,5.1,clear sky
15,Ushuaia,AR,-54.8,-68.3,49.62,57,75,23.02,light intensity drizzle
16,Port Alfred,ZA,-33.5906,26.891,69.53,92,98,17.29,overcast clouds
17,Sitka,US,57.0531,-135.33,30.09,69,1,3.44,clear sky
18,Charters Towers,AU,-20.1,146.2667,76.05,66,23,7.09,few clouds
19,Butaritari,KI,3.0707,172.7902,81.12,74,100,18.05,overcast clouds
20,Hithadhoo,MV,-0.6,73.0833,82.04,74,100,13.67,overcast clouds
21,Moerai,PF,-22.4333,-151.3333,78.98,69,100,8.12,overcast clouds
22,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,20,8.05,few clouds
23,Qaanaaq,GL,77.484,-69.3632,7.21,75,99,4.14,overcast clouds
24,Mount Gambier,AU,-37.8333,140.7667,44.51,93,75,0.0,broken clouds
25,Chokurdakh,RU,70.6333,147.9167,-25.33,93,100,7.92,overcast clouds
26,Khatanga,RU,71.9667,102.5,-8.59,97,100,19.84,light snow
