City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2021-12-12 23:49:43,-34.5322,20.0403,60.28,87,100,2.08
1,Baghdad,IQ,2021-12-12 23:49:11,33.3406,44.4009,51.71,66,0,8.05
2,Beringovskiy,RU,2021-12-12 23:49:44,63.05,179.3167,-15.45,99,100,13.96
3,Labrea,BR,2021-12-12 23:49:44,-7.2586,-64.7981,76.69,87,99,3.4
4,Port Alfred,ZA,2021-12-12 23:49:44,-33.5906,26.891,71.58,95,100,11.59
5,Provideniya,RU,2021-12-12 23:49:45,64.3833,-173.3,-8.64,70,0,11.18
6,Havelock,US,2021-12-12 23:49:45,34.8791,-76.9013,49.98,70,1,3.44
7,Orlovskiy,RU,2021-12-12 23:49:45,46.8714,42.0592,30.83,66,98,20.02
8,Hobart,AU,2021-12-12 23:47:33,-42.8794,147.3294,67.05,56,20,3.0
9,Souillac,MU,2021-12-12 23:49:46,-20.5167,57.5167,74.35,88,75,3.44
10,Carnarvon,AU,2021-12-12 23:49:47,-24.8667,113.6333,71.67,68,2,20.71
11,Vila,PT,2021-12-12 23:49:47,42.0304,-8.1588,43.32,79,26,4.23
12,Shingu,JP,2021-12-12 23:49:47,33.7333,135.9833,50.99,56,4,7.38
13,Busselton,AU,2021-12-12 23:49:48,-33.65,115.3333,57.09,52,100,7.52
14,Bluff,NZ,2021-12-12 23:49:48,-46.6,168.3333,64.8,71,20,9.26
15,Maumere,ID,2021-12-12 23:49:48,-8.6199,122.2111,83.19,74,100,2.66
16,Snezhnogorsk,RU,2021-12-12 23:49:49,69.1933,33.2531,24.58,95,89,10.63
17,Gizo,SB,2021-12-12 23:49:49,-8.103,156.8419,85.01,72,61,6.44
18,Lompoc,US,2021-12-12 23:49:49,34.6391,-120.4579,62.78,67,1,12.66
19,Ancud,CL,2021-12-12 23:49:49,-41.8697,-73.8203,56.73,75,48,7.92
20,Brownsville,US,2021-12-12 23:49:50,25.9018,-97.4975,66.31,75,90,5.01
21,Qaanaaq,GL,2021-12-12 23:49:50,77.484,-69.3632,-3.91,72,76,4.79
22,Vaini,TO,2021-12-12 23:49:51,-21.2,-175.2,82.56,83,40,12.66
23,New Norfolk,AU,2021-12-12 23:49:51,-42.7826,147.0587,66.7,47,9,1.99
24,Kidal,ML,2021-12-12 23:49:51,18.4411,1.4078,71.49,11,95,7.09
25,Sambava,MG,2021-12-12 23:49:52,-14.2667,50.1667,74.59,84,79,7.27
26,Huilong,CN,2021-12-12 23:49:52,31.8111,121.655,48.92,65,4,8.81
27,Ilulissat,GL,2021-12-12 23:49:53,69.2167,-51.1,19.42,63,75,9.22
28,Marystown,CA,2021-12-12 23:49:53,47.1666,-55.1483,39.85,100,100,10.0
29,Ushuaia,AR,2021-12-12 23:49:17,-54.8,-68.3,44.26,53,40,27.63
30,Zdvinsk,RU,2021-12-12 23:49:53,54.7021,78.661,10.4,95,100,9.84
31,Longyearbyen,SJ,2021-12-12 23:49:54,78.2186,15.6401,31.84,74,75,20.71
32,Norman Wells,CA,2021-12-12 23:49:54,65.282,-126.8329,-2.16,71,75,9.22
33,Ribeira Grande,PT,2021-12-12 23:49:54,38.5167,-28.7,58.53,54,100,18.77
34,Namatanai,PG,2021-12-12 23:49:55,-3.6667,152.4333,86.16,65,95,5.57
35,Rikitea,PF,2021-12-12 23:49:55,-23.1203,-134.9692,77.81,75,88,7.85
36,Chuy,UY,2021-12-12 23:49:56,-33.6971,-53.4616,68.4,76,8,12.64
37,Punta Arenas,CL,2021-12-12 23:49:56,-53.15,-70.9167,48.31,37,0,17.27
38,Portland,US,2021-12-12 23:49:39,45.5234,-122.6762,45.75,89,90,1.01
39,Tuktoyaktuk,CA,2021-12-12 23:49:57,69.4541,-133.0374,-5.8,77,90,18.41
40,Albany,US,2021-12-12 23:46:37,42.6001,-73.9662,40.57,47,0,9.04
41,Gisborne,NZ,2021-12-12 23:49:57,-38.6533,178.0042,69.94,94,100,6.4
42,Mahajanga,MG,2021-12-12 23:49:58,-15.7167,46.3167,80.62,61,40,5.75
43,Cape Town,ZA,2021-12-12 23:49:58,-33.9258,18.4232,66.61,78,0,1.01
44,Plouzane,FR,2021-12-12 23:49:58,48.3833,-4.6167,51.98,93,90,10.36
45,Broome,US,2021-12-12 23:49:59,42.2506,-75.833,39.65,59,1,3.0
46,Alenquer,BR,2021-12-12 23:50:59,-1.9417,-54.7383,79.14,86,80,2.91
47,Ugoofaaru,MV,2021-12-12 23:50:59,5.6667,73.0,82.49,75,100,16.37
48,Fereydun Kenar,IR,2021-12-12 23:51:00,36.6864,52.5225,55.47,83,100,11.54
49,Norwich,GB,2021-12-12 23:51:00,52.6278,1.2983,54.01,87,90,1.99
50,La Massana,AD,2021-12-12 23:51:00,42.5667,1.4833,30.74,72,18,2.39
51,Dikson,RU,2021-12-12 23:51:01,73.5069,80.5464,-16.87,96,95,15.77
52,Jiuquan,CN,2021-12-12 23:51:01,39.7432,98.5174,16.79,44,0,2.19
53,Haines City,US,2021-12-12 23:51:01,28.1142,-81.6179,76.68,79,40,12.66
54,Jamestown,US,2021-12-12 23:51:02,42.097,-79.2353,40.71,53,1,8.01
55,Laguna,US,2021-12-12 23:51:02,38.421,-121.4238,53.4,90,90,1.01
56,Atuona,PF,2021-12-12 23:51:02,-9.8,-139.0333,79.14,79,25,18.5
57,Tyret Pervaya,RU,2021-12-12 23:51:03,53.6703,102.3106,16.7,92,100,9.04
58,Padang,ID,2021-12-12 23:51:03,-0.9492,100.3543,77.05,93,100,1.01
59,Winnemucca,US,2021-12-12 23:51:03,40.973,-117.7357,46.45,42,90,13.8
60,Aldan,RU,2021-12-12 23:51:04,58.6031,125.3894,-16.64,84,93,1.86
61,Naze,JP,2021-12-12 23:51:04,28.3667,129.4833,58.12,70,84,17.69
62,Maiduguri,NG,2021-12-12 23:51:05,11.8464,13.1603,70.88,24,82,8.77
63,Tahoua,NE,2021-12-12 23:51:05,14.8888,5.2692,71.67,15,45,10.71
64,Rabo De Peixe,PT,2021-12-12 23:51:05,37.8,-25.5833,55.27,92,20,13.8
65,Vavoua,CI,2021-12-12 23:51:06,7.3819,-6.4778,76.44,46,20,2.53
66,Horsham,GB,2021-12-12 23:51:06,51.064,-0.3272,53.29,87,75,10.36
67,Baturaja,ID,2021-12-12 23:51:07,-4.1333,104.1667,74.73,96,84,1.99
68,Nouadhibou,MR,2021-12-12 23:51:07,20.931,-17.0347,66.18,72,0,20.71
